Identifier: KEWR04RL_arrival_corridor
Segment: 1
Surface: w1
717.497743 -2511.307791 0.427905

Segment: 4
Surface: w1
709.780129 -2515.413293 0.427905
710.046719 -2516.358070 0.822894
717.767231 -2512.251024 0.822894
717.497743 -2511.307791 0.427905

Surface: w2
711.556479 -2511.575355 0.427905
711.823735 -2512.518686 0.822894
718.086116 -2510.911538 0.822894
717.816509 -2509.968810 0.427905

Surface: s1
711.556479 -2511.575355 0.427905
711.823735 -2512.518686 0.822894
710.046719 -2516.358070 0.822894
709.780129 -2515.413293 0.427905

Surface: s2
717.497743 -2511.307791 0.427905
717.767231 -2512.251024 0.822894
718.086116 -2510.911538 0.822894
717.816509 -2509.968810 0.427905

Surface: u
710.046719 -2516.358070 0.822894
711.823735 -2512.518686 0.822894
718.086116 -2510.911538 0.822894
717.767231 -2512.251024 0.822894

Surface: l
711.556479 -2511.575355 0.427905
709.780129 -2515.413293 0.427905
717.497743 -2511.307791 0.427905
717.816509 -2509.968810 0.427905

Identifier: KEWR11_arrival_corridor
Segment: 1
Surface: w1
713.071099 -2515.479418 0.000000
713.093427 -2515.558184 0.032916
713.092051 -2515.540446 0.032916
713.069723 -2515.461681 0.000000

Surface: w2
706.987563 -2517.549588 0.213952
707.120361 -2518.022476 0.411447
707.057709 -2517.714964 0.411447
706.924923 -2517.242135 0.213952

Surface: s1
706.987563 -2517.549588 0.213952
707.120361 -2518.022476 0.411447
713.093427 -2515.558184 0.032916
713.071099 -2515.479418 0.000000

Surface: s2
713.069723 -2515.461681 0.000000
713.092051 -2515.540446 0.032916
707.057709 -2517.714964 0.411447
706.924923 -2517.242135 0.213952

Surface: u
713.093427 -2515.558184 0.032916
707.120361 -2518.022476 0.411447
707.057709 -2517.714964 0.411447
713.092051 -2515.540446 0.032916

Surface: l
706.987563 -2517.549588 0.213952
713.071099 -2515.479418 0.000000
713.069723 -2515.461681 0.000000
706.924923 -2517.242135 0.213952

Segment: 2
Surface: w1
706.987563 -2517.549588 0.213952
707.120361 -2518.022476 0.411447
707.057709 -2517.714964 0.411447
706.924923 -2517.242135 0.213952

Surface: w2
699.346847 -2523.832874 0.230410
699.521996 -2524.464958 0.493737
697.852628 -2519.072604 0.493737
697.677899 -2518.441875 0.230410

Surface: s1
699.346847 -2523.832874 0.230410
699.521996 -2524.464958 0.493737
707.120361 -2518.022476 0.411447
706.987563 -2517.549588 0.213952

Surface: s2
706.924923 -2517.242135 0.213952
707.057709 -2517.714964 0.411447
697.852628 -2519.072604 0.493737
697.677899 -2518.441875 0.230410

Surface: u
707.120361 -2518.022476 0.411447
699.521996 -2524.464958 0.493737
697.852628 -2519.072604 0.493737
707.057709 -2517.714964 0.411447

Surface: l
699.346847 -2523.832874 0.230410
706.987563 -2517.549588 0.213952
706.924923 -2517.242135 0.213952
697.677899 -2518.441875 0.230410

Identifier: KEWR11_departure_corridor
Segment: 1
Surface: w1
713.358409 -2515.415392 0.000000
713.403083 -2515.572919 0.065832
713.398314 -2515.556103 0.065832
713.353640 -2515.398576 0.000000

Surface: w2
708.392620 -2518.448991 0.658315
708.503458 -2518.843039 0.822894
708.733330 -2518.530364 0.822894
708.622456 -2518.136366 0.658315

Surface: s1
708.392620 -2518.448991 0.658315
708.503458 -2518.843039 0.822894
713.403083 -2515.572919 0.065832
713.358409 -2515.415392 0.000000

Surface: s2
713.353640 -2515.398576 0.000000
713.398314 -2515.556103 0.065832
708.733330 -2518.530364 0.822894
708.622456 -2518.136366 0.658315

Surface: u
713.403083 -2515.572919 0.065832
708.503458 -2518.843039 0.822894
708.733330 -2518.530364 0.822894
713.398314 -2515.556103 0.065832

Surface: l
708.392620 -2518.448991 0.658315
713.358409 -2515.415392 0.000000
713.353640 -2515.398576 0.000000
708.622456 -2518.136366 0.658315

Identifier: KEWR22RL_arrival_corridor
Segment: 1
Surface: w1
713.243085 -2515.820717 0.000000
713.332418 -2516.135823 0.131663
713.561534 -2516.257798 0.131663
713.472172 -2515.942676 0.000000

Surface: w2
715.108232 -2511.971019 0.181037
715.253753 -2512.482193 0.394989
715.528248 -2512.713646 0.394989
715.382671 -2512.202426 0.181037

Surface: s1
715.108232 -2511.971019 0.181037
715.253753 -2512.482193 0.394989
713.332418 -2516.135823 0.131663
713.243085 -2515.820717 0.000000

Surface: s2
713.472172 -2515.942676 0.000000
713.561534 -2516.257798 0.131663
715.528248 -2512.713646 0.394989
715.382671 -2512.202426 0.181037

Surface: u
713.332418 -2516.135823 0.131663
715.253753 -2512.482193 0.394989
715.528248 -2512.713646 0.394989
713.561534 -2516.257798 0.131663

Surface: l
715.108232 -2511.971019 0.181037
713.243085 -2515.820717 0.000000
713.472172 -2515.942676 0.000000
